Timestamp,Are You From RVU or RVCE,Gender,Veg/Non Veg,Prefered cuisine,Go to Beverage,Mingos Rating,Thoda Aur Rating,How much you spend on average breakfast/snacks daily,How much  you spend on lunch daily,Average waiting time(minutes)
18/12/2023 21:56:30,RVU,Female,Non Veg,Chinese,Chia seed juice,3,4,0-50,100-200,5-10
18/12/2023 21:58:00,RVU,Female,Non Veg,Biryani,Chia seed juice,3,3,100-150,200-300,10-15
18/12/2023 21:58:14,RVCE,Male,Veg,Chaats,Energy drinks,3,3,0-50,0-100,5-10
18/12/2023 21:58:53,RVCE,Male,Veg,North Indian,Fruit juice,2,1,0-50,0-100,5-10
18/12/2023 22:00:25,RVU,Male,Veg,North Indian,Chia seed juice,3,4,50-100,100-200,5-10
18/12/2023 22:01:15,RVU,Male,Veg,South Indian,Tea/coffee,3,2,50-100,100-200,10-15
18/12/2023 22:07:47,RVCE,Male,Non Veg,Fast food,Fruit juice,4,3,100-150,0-100,5-10
18/12/2023 22:11:30,RVCE,Male,Non Veg,South Indian,Tea/coffee,4,3,100-150,100-200,5-10
18/12/2023 22:15:13,RVU,Male,Non Veg,Chinese,Fruit juice,3,4,100-150,100-200,10-15
18/12/2023 22:22:46,RVU,Male,Veg,North Indian,Fruit juice,3,3,0-50,0-100,5-10
18/12/2023 22:23:15,RVU,Male,Non Veg,Biryani,Energy drinks,3,4,50-100,0-100,10-15
18/12/2023 22:24:17,RVU,Male,Veg,North Indian,Tea/coffee,3,3,50-100,0-100,5-10
18/12/2023 22:26:03,RVCE,Male,Non Veg,Biryani,Fruit juice,5,5,50-100,100-200,0-5
18/12/2023 22:26:38,RVU,Female,Veg,Fast food,Tea/coffee,3,4,100-150,0-100,5-10
18/12/2023 22:51:24,RVU,Female,Veg,Chaats,Chia seed juice,3,3,0-50,0-100,5-10
18/12/2023 22:57:23,RVU,Male,Non Veg,Fast food,Energy drinks,2,1,0-50,300-400,10-15
18/12/2023 23:12:18,RVCE,Male,Non Veg,South Indian,Fruit juice,5,3,50-100,0-100,5-10
19/12/2023 00:00:51,RVU,Male,Non Veg,Biryani,Tea/coffee,5,1,0-50,0-100,0-5
19/12/2023 00:27:06,RVU,Female,Non Veg,Biryani,Aerated beverages,3,4,150-200,200-300,10-15
19/12/2023 00:33:22,RVU,Male,Veg,South Indian,Tea/coffee,4,3,100-150,200-300,15 -20
19/12/2023 00:42:25,RVU,Male,Veg,Fast food,Fruit juice,3,3,0-50,0-100,0-5
19/12/2023 00:45:50,RVU,Male,Veg,Biryani,Chia seed juice,3,4,100-150,100-200,5-10
19/12/2023 00:48:26,RVU,Male,Non Veg,Fast food,Chia seed juice,3,3,100-150,300-400,15 -20
19/12/2023 02:00:26,RVU,Male,Veg,Chaats,Fruit juice,3,4,0-50,0-100,5-10
19/12/2023 02:24:53,RVCE,Female,Veg,North Indian,Aerated beverages,1,1,0-50,0-100,0-5
19/12/2023 07:25:01,RVCE,Male,Non Veg,Chinese,Tea/coffee,5,4,0-50,0-100,0-5
19/12/2023 07:29:20,RVU,Female,Veg,Fast food,Chia seed juice,3,2,50-100,100-200,0-5
19/12/2023 07:52:37,RVU,Male,Non Veg,Fast food,Energy drinks,4,3,50-100,100-200,5-10
19/12/2023 08:00:54,RVU,Female,Non Veg,South Indian,Energy drinks,4,5,50-100,100-200,10-15
19/12/2023 08:07:45,RVCE,Female,Non Veg,Chinese,Tea/coffee,3,2,100-150,100-200,0-5
19/12/2023 08:16:17,RVU,Male,Non Veg,Biryani,Fruit juice,3,3,0-50,100-200,5-10
19/12/2023 08:19:58,RVU,Female,Veg,Chaats,Tea/coffee,3,3,0-50,0-100,5-10
19/12/2023 08:37:37,RVU,Female,Veg,Chinese,Aerated beverages,4,3,50-100,0-100,5-10
19/12/2023 08:44:06,RVU,Male,Non Veg,Biryani,Fruit juice,5,5,0-50,0-100,0-5
19/12/2023 08:44:33,RVU,Male,Veg,Fast food,Aerated beverages,3,4,150-200,100-200,0-5
19/12/2023 08:45:21,RVU,Male,Veg,South Indian,Fruit juice,3,5,0-50,0-100,5-10
19/12/2023 08:58:15,RVU,Female,Veg,South Indian,Fruit juice,4,2,0-50,0-100,5-10
19/12/2023 09:02:37,RVU,Female,Non Veg,South Indian,Fruit juice,3,3,0-50,0-100,10-15
19/12/2023 09:27:20,RVU,Male,Veg,Biryani,Fruit juice,4,3,50-100,0-100,15 -20
19/12/2023 09:28:59,RVU,Female,Non Veg,Fast food,Energy drinks,4,4,100-150,200-300,5-10
19/12/2023 10:45:14,RVU,Female,Veg,North Indian,Fruit juice,4,4,0-50,0-100,15 -20
19/12/2023 10:46:37,RVU,Male,Non Veg,Biryani,Aerated beverages,3,2,50-100,0-100,0-5
19/12/2023 10:46:53,RVU,Male,Veg,North Indian,Chia seed juice,4,3,0-50,0-100,0-5
19/12/2023 10:47:03,RVU,Female,Veg,Fast food,Energy drinks,5,5,0-50,0-100,5-10
19/12/2023 10:47:09,RVU,Female,Non Veg,Fast food,Fruit juice,4,4,50-100,100-200,5-10
19/12/2023 10:47:21,RVU,Male,Non Veg,North Indian,Tea/coffee,2,4,0-50,0-100,0-5
19/12/2023 10:47:33,RVU,Female,Non Veg,Chaats,Fruit juice,4,3,0-50,0-100,10-15
19/12/2023 10:47:34,RVU,Female,Veg,Chinese,Aerated beverages,2,1,0-50,0-100,5-10
19/12/2023 10:51:35,RVU,Male,Veg,North Indian,Chia seed juice,2,4,50-100,0-100,5-10
19/12/2023 10:52:17,RVU,Female,Veg,Chinese,Chia seed juice,4,3,50-100,100-200,10-15
19/12/2023 10:53:37,RVU,Female,Non Veg,Chinese,Aerated beverages,3,2,0-50,0-100,5-10
19/12/2023 10:57:02,RVU,Male,Non Veg,Fast food,Aerated beverages,4,3,50-100,0-100,5-10
19/12/2023 11:02:30,RVU,Female,Non Veg,Biryani,Aerated beverages,3,5,50-100,100-200,5-10
19/12/2023 11:08:02,RVU,Male,Non Veg,Chinese,Fruit juice,4,3,0-50,100-200,0-5
19/12/2023 11:08:03,RVU,Female,Veg,Chaats,Tea/coffee,2,1,0-50,0-100,0-5
19/12/2023 11:15:07,RVU,Female,Non Veg,Biryani,Aerated beverages,3,2,50-100,100-200,10-15
19/12/2023 11:17:48,RVU,Male,Veg,North Indian,Tea/coffee,3,4,150-200,100-200,10-15
19/12/2023 11:18:00,RVU,Female,Veg,Chinese,Aerated beverages,2,2,0-50,0-100,10-15
19/12/2023 11:19:10,RVU,Female,Non Veg,Biryani,Chia seed juice,4,2,50-100,0-100,5-10
19/12/2023 11:20:59,RVU,Male,Non Veg,Chinese,Aerated beverages,4,3,50-100,100-200,10-15
19/12/2023 11:27:26,RVU,Female,Non Veg,North Indian,Tea/coffee,4,2,50-100,0-100,10-15
19/12/2023 11:28:52,RVU,Female,Veg,South Indian,Energy drinks,3,4,50-100,0-100,5-10
19/12/2023 11:29:01,RVU,Male,Veg,South Indian,Tea/coffee,3,4,0-50,0-100,5-10
19/12/2023 11:37:05,RVU,Female,Veg,North Indian,Chia seed juice,1,4,0-50,100-200,10-15
19/12/2023 11:45:55,RVU,Female,Veg,Fast food,Tea/coffee,4,3,0-50,0-100,5-10
19/12/2023 11:55:26,RVU,Male,Non Veg,North Indian,Fruit juice,4,3,150-200,100-200,5-10
19/12/2023 11:58:22,RVU,Male,Non Veg,Chinese,Fruit juice,5,2,50-100,100-200,0-5
19/12/2023 12:08:48,RVU,Female,Veg,South Indian,Energy drinks,4,2,0-50,0-100,0-5
19/12/2023 12:58:46,RVU,Female,Non Veg,Biryani,Aerated beverages,4,3,50-100,0-100,10-15
19/12/2023 13:19:02,RVU,Female,Veg,Chaats,Aerated beverages,4,2,0-50,0-100,5-10
19/12/2023 13:51:51,RVU,Female,Veg,South Indian,Tea/coffee,3,3,0-50,0-100,5-10
19/12/2023 14:02:52,RVU,Female,Non Veg,Biryani,Fruit juice,4,2,50-100,0-100,5-10
19/12/2023 14:27:00,RVU,Male,Veg,Fast food,Energy drinks,3,3,0-50,0-100,10-15
19/12/2023 14:28:55,RVCE,Female,Veg,Chinese,Tea/coffee,4,4,0-50,0-100,0-5
19/12/2023 14:30:54,RVCE,Female,Veg,Fast food,Chia seed juice,3,4,0-50,0-100,5-10
19/12/2023 14:31:17,RVCE,Female,Non Veg,Chinese,Tea/coffee,5,4,0-50,0-100,5-10
19/12/2023 14:34:16,RVCE,Female,Non Veg,Fast food,Tea/coffee,5,5,0-50,100-200,5-10
19/12/2023 14:34:36,RVCE,Male,Veg,North Indian,Tea/coffee,3,5,0-50,0-100,0-5
19/12/2023 14:37:10,RVCE,Female,Veg,Chinese,Fruit juice,4,4,0-50,0-100,0-5
19/12/2023 14:37:31,RVU,Female,Non Veg,South Indian,Fruit juice,4,4,150-200,200-300,5-10
19/12/2023 14:38:42,RVCE,Male,Veg,North Indian,Tea/coffee,3,4,0-50,0-100,5-10
19/12/2023 14:40:46,RVCE,Female,Non Veg,Fast food,Fruit juice,3,4,0-50,0-100,5-10
19/12/2023 14:40:50,RVCE,Female,Veg,South Indian,Chia seed juice,2,3,0-50,0-100,15 -20
19/12/2023 14:46:15,RVCE,Male,Veg,Fast food,Aerated beverages,4,3,50-100,0-100,5-10
19/12/2023 14:46:31,RVU,Male,Non Veg,Chaats,Aerated beverages,3,3,50-100,0-100,10-15
19/12/2023 14:47:45,RVCE,Male,Veg,Biryani,Chia seed juice,3,4,50-100,100-200,5-10
19/12/2023 14:51:10,RVCE,Male,Non Veg,Biryani,Fruit juice,4,3,50-100,100-200,15 -20
19/12/2023 14:53:34,RVCE,Male,Veg,North Indian,Tea/coffee,3,4,0-50,0-100,15 -20
19/12/2023 14:59:54,RVCE,Male,Veg,Chaats,Fruit juice,3,4,0-50,0-100,5-10
19/12/2023 15:01:33,RVCE,Male,Non Veg,Fast food,Aerated beverages,5,5,0-50,0-100,10-15
19/12/2023 15:05:19,RVU,Male,Non Veg,North Indian,Fruit juice,2,4,0-50,0-100,5-10
19/12/2023 15:07:05,RVCE,Male,Veg,South Indian,Fruit juice,3,3,0-50,0-100,10-15
19/12/2023 15:15:14,RVCE,Female,Veg,Chaats,Aerated beverages,3,4,0-50,0-100,0-5
19/12/2023 15:29:31,RVU,Male,Veg,Biryani,Fruit juice,4,3,0-50,0-100,0-5
19/12/2023 16:05:03,RVCE,Male,Veg,North Indian,Fruit juice,5,5,0-50,0-100,5-10
19/12/2023 16:12:13,RVCE,Male,Veg,Fast food,Energy drinks,1,1,150-200,300-400,15 -20
19/12/2023 16:15:17,RVCE,Male,Veg,North Indian,Energy drinks,2,4,50-100,100-200,5-10
19/12/2023 16:40:30,RVCE,Male,Veg,North Indian,Aerated beverages,4,5,0-50,0-100,0-5
19/12/2023 16:53:27,RVCE,Male,Veg,Chaats,Fruit juice,3,2,50-100,0-100,5-10
19/12/2023 17:01:36,RVCE,Male,Veg,Chinese,Fruit juice,4,4,0-50,0-100,10-15
19/12/2023 17:48:27,RVCE,Male,Non Veg,Chinese,Chia seed juice,3,1,0-50,0-100,0-5
19/12/2023 17:48:41,RVCE,Male,Veg,South Indian,Tea/coffee,4,3,50-100,0-100,0-5
19/12/2023 18:40:45,RVCE,Female,Veg,Chinese,Tea/coffee,2,4,0-50,0-100,0-5
19/12/2023 18:52:52,RVU,Female,Veg,Fast food,Tea/coffee,4,4,0-50,0-100,5-10
19/12/2023 18:58:09,RVCE,Male,Veg,Fast food,Fruit juice,4,4,0-50,0-100,5-10
19/12/2023 20:21:34,RVCE,Female,Non Veg,Biryani,Fruit juice,3,3,0-50,0-100,5-10
